Sample	Top over-represented sequence	Sum of remaining over-represented sequences
54058_ID1725_2-B-9S_S1_L001_R1.trmdfilt	0.24777597926407632	1.280655964167478
54058_ID1725_2-B-9S_S1_L001_R2.trmdfilt	0.23917908596331025	1.2658345847246768
54059_ID1725_10-B-31A_S2_L001_R1.trmdfilt	0.4128672294217407	0.7434427237960014
54059_ID1725_10-B-31A_S2_L001_R2.trmdfilt	0.40232046259701737	0.7437905149526287
54060_ID1725_11-B-32S_S3_L001_R1.trmdfilt	0.2217156760281082	0.23023439967410164
54060_ID1725_11-B-32S_S3_L001_R2.trmdfilt	0.20904566391880616	0.21928084680690266
54061_ID1725_14-B-35S_S4_L001_R1.trmdfilt	0.41166278532905115	0.3362517884594895
54061_ID1725_14-B-35S_S4_L001_R2.trmdfilt	0.40395718859241897	0.33511418235691054
54062_ID1725_27-B-53S_S5_L001_R1.trmdfilt	0.2211950630234736	0.23294603323501636
54062_ID1725_27-B-53S_S5_L001_R2.trmdfilt	0.20952254468744913	0.21664485424341995
54063_ID1725_38-B-68S_S6_L001_R1.trmdfilt	0.3735460921042548	1.9743059685760758
54063_ID1725_38-B-68S_S6_L001_R2.trmdfilt	0.36977929307559093	1.941992436412826
54064_ID1725_41-B-75S_S7_L001_R1.trmdfilt	0.5015480417307286	2.6604187544905726
54064_ID1725_41-B-75S_S7_L001_R2.trmdfilt	0.4854058655609652	2.6348778990093025
54065_ID1725_42-B-77S_S8_L001_R1.trmdfilt	0.0	0.0
54065_ID1725_42-B-77S_S8_L001_R2.trmdfilt	0.0	0.0
54066_ID1725_45-B-86B_S9_L001_R1.trmdfilt	0.44100410182422367	2.2987801408959503
54066_ID1725_45-B-86B_S9_L001_R2.trmdfilt	0.434669224829238	2.154510653364369
54067_ID1725_48-B-91S_S10_L001_R1.trmdfilt	0.4565612951336869	2.2466839650636197
54067_ID1725_48-B-91S_S10_L001_R2.trmdfilt	0.4458261250816991	2.226958265964161
54068_ID1725_49-B-93S_S11_L001_R1.trmdfilt	0.45914224595910424	2.3081327392237028
54068_ID1725_49-B-93S_S11_L001_R2.trmdfilt	0.4435935802274803	2.3889942122074457
54069_ID1725_50-B-102S_S12_L001_R1.trmdfilt	0.0	0.0
54069_ID1725_50-B-102S_S12_L001_R2.trmdfilt	0.0	0.0
54070_ID1725_51-B-103S_S13_L001_R1.trmdfilt	0.0	0.0
54070_ID1725_51-B-103S_S13_L001_R2.trmdfilt	0.0	0.0
54071_ID1725_52-B-104S_S14_L001_R1.trmdfilt	0.0	0.0
54071_ID1725_52-B-104S_S14_L001_R2.trmdfilt	0.0	0.0
54072_ID1725_53-B-105S_S15_L001_R1.trmdfilt	0.0	0.0
54072_ID1725_53-B-105S_S15_L001_R2.trmdfilt	0.0	0.0
54073_ID1725_54-B-106S_S16_L001_R1.trmdfilt	0.0	0.0
54073_ID1725_54-B-106S_S16_L001_R2.trmdfilt	0.0	0.0
54074_ID1725_56-B-109S_S17_L001_R1.trmdfilt	0.0	0.0
54074_ID1725_56-B-109S_S17_L001_R2.trmdfilt	0.0	0.0
54075_ID1725_58-B-111S_S18_L001_R1.trmdfilt	0.0	0.0
54075_ID1725_58-B-111S_S18_L001_R2.trmdfilt	0.0	0.0
54076_ID1725_1-B-6S_S19_L001_R1.trmdfilt	0.3748975741371859	2.0864387490002216
54076_ID1725_1-B-6S_S19_L001_R2.trmdfilt	0.38252835964371795	2.1275203661115376
54077_ID1725_3-B-10S_S20_L001_R1.trmdfilt	0.22967902985853245	1.027472663153239
54077_ID1725_3-B-10S_S20_L001_R2.trmdfilt	0.22055134085880693	0.9990552971172664
54078_ID1725_4-B-11S_S21_L001_R1.trmdfilt	0.1530476018294065	0.5910013206518997
54078_ID1725_4-B-11S_S21_L001_R2.trmdfilt	0.1582439965156599	0.614818129630561
54079_ID1725_5-B-20S_S22_L001_R1.trmdfilt	0.22362896620778538	1.265712859760821
54079_ID1725_5-B-20S_S22_L001_R2.trmdfilt	0.21965480173266883	1.246159747588719
54080_ID1725_6-B-24S_S23_L001_R1.trmdfilt	0.35357248832495547	1.7089966708586153
54080_ID1725_6-B-24S_S23_L001_R2.trmdfilt	0.3419936640889703	1.678826951205971
54081_ID1725_7-B-28S_S24_L001_R1.trmdfilt	0.3649768765789248	1.7787864311621522
54081_ID1725_7-B-28S_S24_L001_R2.trmdfilt	0.35243206689889345	1.7554285868757638
54082_ID1725_8-B-29S_S25_L001_R1.trmdfilt	0.1965408633747597	0.8135864088657098
54082_ID1725_8-B-29S_S25_L001_R2.trmdfilt	0.2006707681995779	0.8192995245670995
54083_ID1725_9-B-30S_S26_L001_R1.trmdfilt	0.15325560149572992	0.6594581308819149
54083_ID1725_9-B-30S_S26_L001_R2.trmdfilt	0.14896341937690472	0.6606931235653986
54084_ID1725_12-B-33S_S27_L001_R1.trmdfilt	0.7974554425595763	2.9270110061098507
54084_ID1725_12-B-33S_S27_L001_R2.trmdfilt	0.7944978275105328	2.8922566050089586
54085_ID1725_15-B-36B_S28_L001_R1.trmdfilt	0.1801191229150275	0.0
54085_ID1725_15-B-36B_S28_L001_R2.trmdfilt	0.17877487136597603	0.0
54086_ID1725_16-B-37S_S29_L001_R1.trmdfilt	0.1888197274666117	0.0
54086_ID1725_16-B-37S_S29_L001_R2.trmdfilt	0.18900062046297755	0.0
54087_ID1725_24-B-48S_S30_L001_R1.trmdfilt	0.14289017424646175	0.8740547562861732
54087_ID1725_24-B-48S_S30_L001_R2.trmdfilt	0.14005266024220014	0.8577729502652598
54088_ID1725_26-B-51S_S31_L001_R1.trmdfilt	0.1795553872432521	0.9909386867332337
54088_ID1725_26-B-51S_S31_L001_R2.trmdfilt	0.18199880990288592	1.01486641797188
54089_ID1725_40-B-74S_S32_L001_R1.trmdfilt	0.0	0.0
54089_ID1725_40-B-74S_S32_L001_R2.trmdfilt	0.0	0.0
54090_ID1725_43-B-79S_S33_L001_R1.trmdfilt	0.0	0.0
54090_ID1725_43-B-79S_S33_L001_R2.trmdfilt	0.0	0.0
54091_ID1725_46-B-87S_S34_L001_R1.trmdfilt	0.4473981946133539	2.293670418075842
54091_ID1725_46-B-87S_S34_L001_R2.trmdfilt	0.4404135959276549	2.2776721474245876
54092_ID1725_47-B-88A_S35_L001_R1.trmdfilt	0.4107407267983282	2.023523715474947
54092_ID1725_47-B-88A_S35_L001_R2.trmdfilt	0.40275177934635964	2.0115872881055354
54093_ID1725_55-B-107S_S36_L001_R1.trmdfilt	0.0	0.0
54093_ID1725_55-B-107S_S36_L001_R2.trmdfilt	0.0	0.0
54094_ID1725_57-B-110S_S37_L001_R1.trmdfilt	0.0	0.0
54094_ID1725_57-B-110S_S37_L001_R2.trmdfilt	0.0	0.0
54095_ID1725_59-B-129S_S38_L001_R1.trmdfilt	0.3496007601866428	1.7576303884886595
54095_ID1725_59-B-129S_S38_L001_R2.trmdfilt	0.3422521721635486	1.7377433898164258
54096_ID1725_60-B-130S_S39_L001_R1.trmdfilt	0.3880165509306143	1.905860323872819
54096_ID1725_60-B-130S_S39_L001_R2.trmdfilt	0.3737932371670436	1.8807180565992307
54097_ID1725_13-B-34S_S40_L001_R1.trmdfilt	0.0	0.0
54097_ID1725_13-B-34S_S40_L001_R2.trmdfilt	0.0	0.0
54098_ID1725_17-B-39S_S41_L001_R1.trmdfilt	0.3759153298470899	0.2729578491836088
54098_ID1725_17-B-39S_S41_L001_R2.trmdfilt	0.36806381756795464	0.27655873226298483
54099_ID1725_18-B-40S_S42_L001_R1.trmdfilt	0.2259938172893695	0.0
54099_ID1725_18-B-40S_S42_L001_R2.trmdfilt	0.2215129053948389	0.0
54100_ID1725_19-B-41S_S43_L001_R1.trmdfilt	0.4463291902637928	0.37655583015833705
54100_ID1725_19-B-41S_S43_L001_R2.trmdfilt	0.4356450108117158	0.3780477651268703
54101_ID1725_20-B-42S_S44_L001_R1.trmdfilt	0.5537314241648895	0.43374081075100457
54101_ID1725_20-B-42S_S44_L001_R2.trmdfilt	0.5479085098396703	0.43143816761204634
54102_ID1725_21-B-44A_S45_L001_R1.trmdfilt	0.23647028112338797	0.21184778867906695
54102_ID1725_21-B-44A_S45_L001_R2.trmdfilt	0.23368732474880247	0.20817371442426305
54103_ID1725_22-B-45B_S46_L001_R1.trmdfilt	0.30122282440572273	0.24671642121108256
54103_ID1725_22-B-45B_S46_L001_R2.trmdfilt	0.3036976005385921	0.24949423115613995
54104_ID1725_23-B-47S_S47_L001_R1.trmdfilt	0.13392081310717735	0.0
54104_ID1725_23-B-47S_S47_L001_R2.trmdfilt	0.12933243622405266	0.0
54105_ID1725_25-B-49A_S48_L001_R1.trmdfilt	0.14486075816777882	0.6272656547585551
54105_ID1725_25-B-49A_S48_L001_R2.trmdfilt	0.13934490622215956	0.6224864878651566
54106_ID1725_28-B-55S_S49_L001_R1.trmdfilt	0.15752142589100396	0.0
54106_ID1725_28-B-55S_S49_L001_R2.trmdfilt	0.15468467698167376	0.0
54107_ID1725_29-B-56S_S50_L001_R1.trmdfilt	0.21971604207782774	1.3050674286073791
54107_ID1725_29-B-56S_S50_L001_R2.trmdfilt	0.20751459685265203	1.2864898809294643
54108_ID1725_30-B-57B_S51_L001_R1.trmdfilt	0.29786811021073223	1.3973330166749922
54108_ID1725_30-B-57B_S51_L001_R2.trmdfilt	0.2980129234765815	1.391719373016484
54109_ID1725_31-B-58A_S52_L001_R1.trmdfilt	0.7388629231485729	0.5847511744242263
54109_ID1725_31-B-58A_S52_L001_R2.trmdfilt	0.7271146653670156	0.7032586653535543
54110_ID1725_32-B-60B_S53_L001_R1.trmdfilt	0.4131957507031404	0.33675050608194046
54110_ID1725_32-B-60B_S53_L001_R2.trmdfilt	0.41205818598735244	0.3364370039949123
54111_ID1725_33-B-61S_S54_L001_R1.trmdfilt	0.2770550465700581	1.2491096278625147
54111_ID1725_33-B-61S_S54_L001_R2.trmdfilt	0.27920716696698217	1.241888519486672
54112_ID1725_34-B-62A_S55_L001_R1.trmdfilt	0.1540978117375183	0.6582078369054187
54112_ID1725_34-B-62A_S55_L001_R2.trmdfilt	0.16061896018421695	0.6939808372649602
54113_ID1725_35-B-64S_S56_L001_R1.trmdfilt	0.20420072691251773	0.22037199520290646
54113_ID1725_35-B-64S_S56_L001_R2.trmdfilt	0.20039329112361334	0.21631654791508673
54114_ID1725_36-B-65S_S57_L001_R1.trmdfilt	0.15775419756117265	0.0
54114_ID1725_36-B-65S_S57_L001_R2.trmdfilt	0.15196668715116188	0.0
54115_ID1725_37-B-66S_S58_L001_R1.trmdfilt	0.18421868368314426	0.0
54115_ID1725_37-B-66S_S58_L001_R2.trmdfilt	0.177823956860819	0.0
54116_ID1725_39-B-70S_S59_L001_R1.trmdfilt	0.0	0.0
54116_ID1725_39-B-70S_S59_L001_R2.trmdfilt	0.0	0.0
54117_ID1725_44-B-81S_S60_L001_R1.trmdfilt	0.43636182398662526	2.273241901596541
54117_ID1725_44-B-81S_S60_L001_R2.trmdfilt	0.42583735638225695	2.2601705598511304
70305_ID2138_1_BO17_224_B_S107_L001_R1.trmdfilt	0.0	0.0
70305_ID2138_1_BO17_224_B_S107_L001_R2.trmdfilt	0.0	0.0
70306_ID2138_2_BO17_258_S_S108_L001_R1.trmdfilt	0.22202927959903265	0.0
70306_ID2138_2_BO17_258_S_S108_L001_R2.trmdfilt	0.2179566521352011	0.0
70307_ID2138_3_BO17_263_S_S109_L001_R1.trmdfilt	0.18486326778475523	0.0
70307_ID2138_3_BO17_263_S_S109_L001_R2.trmdfilt	0.19638753640527887	0.0
70308_ID2138_4_BO17_265_S_S110_L001_R1.trmdfilt	0.20144119222691909	0.0
70308_ID2138_4_BO17_265_S_S110_L001_R2.trmdfilt	0.1965087009583772	0.0
70309_ID2138_5_BO17_268_S_S111_L001_R1.trmdfilt	0.25072647284329924	0.32341115524355885
70309_ID2138_5_BO17_268_S_S111_L001_R2.trmdfilt	0.2470700451143345	0.3188915064813308
70310_ID2138_6_BO17_344_A_S112_L001_R1.trmdfilt	0.14325190099739288	0.6491629802683112
70310_ID2138_6_BO17_344_A_S112_L001_R2.trmdfilt	0.14073952285207794	0.6418633727438757
70311_ID2138_7_BO17_509_S_S113_L001_R1.trmdfilt	0.21072860235758836	0.26446368560159617
70311_ID2138_7_BO17_509_S_S113_L001_R2.trmdfilt	0.20699808143983806	0.25917954479303834
70312_ID2138_8_BO17_505_S_S114_L001_R1.trmdfilt	0.0	0.0
70312_ID2138_8_BO17_505_S_S114_L001_R2.trmdfilt	0.0	0.0
70313_ID2138_9_ZU19_004_S_S115_L001_R1.trmdfilt	0.36166112204516415	2.0615467681627933
70313_ID2138_9_ZU19_004_S_S115_L001_R2.trmdfilt	0.3474036238606772	2.024732683280052
70314_ID2138_10_ZU19_013_A_S116_L001_R1.trmdfilt	0.1472457024712686	0.0
70314_ID2138_10_ZU19_013_A_S116_L001_R2.trmdfilt	0.15182378497836485	0.14249481197174424
70315_ID2138_11_ZU19_030_S_S117_L001_R1.trmdfilt	0.1767837239705062	0.1107822339331235
70315_ID2138_11_ZU19_030_S_S117_L001_R2.trmdfilt	0.1718938095083165	0.10930235527219129
70316_ID2138_12_ZU19_031_A_S118_L001_R1.trmdfilt	0.2365910186829806	0.5930915337820839
70316_ID2138_12_ZU19_031_A_S118_L001_R2.trmdfilt	0.2284448319519623	0.5683988023961734
70317_ID2138_13_ZU19_100_B_S119_L001_R1.trmdfilt	0.18826358232076754	0.11363387965158547
70317_ID2138_13_ZU19_100_B_S119_L001_R2.trmdfilt	0.18230461083734478	0.11025047638508073
70318_ID2138_14_ZU19_110_S_S120_L001_R1.trmdfilt	0.1916491177303659	0.20395310034702777
70318_ID2138_14_ZU19_110_S_S120_L001_R2.trmdfilt	0.18190691285999183	0.0
70319_ID2138_15_ZU19_76_S_S121_L001_R1.trmdfilt	0.0	0.0
70319_ID2138_15_ZU19_76_S_S121_L001_R2.trmdfilt	0.13993265486369333	0.0
70320_ID2138_16_ZU19_87_S_S122_L001_R1.trmdfilt	0.38834288286388746	1.9524303114941524
70320_ID2138_16_ZU19_87_S_S122_L001_R2.trmdfilt	0.3808968587764191	1.9595882287142241
70321_ID2138_17_ZU19_90_S_S123_L001_R1.trmdfilt	0.21030788803348185	0.9281622447729339
70321_ID2138_17_ZU19_90_S_S123_L001_R2.trmdfilt	0.203514703883866	0.922903544641366
70322_ID2138_18_ZU19_41_A_S124_L001_R1.trmdfilt	0.16896683752705396	0.0
70322_ID2138_18_ZU19_41_A_S124_L001_R2.trmdfilt	0.16500652349540937	0.0
70323_ID2138_19_ZU19_029_A_S125_L001_R1.trmdfilt	0.0	0.0
70323_ID2138_19_ZU19_029_A_S125_L001_R2.trmdfilt	0.0	0.0
70324_ID2138_20_BO17_241_S_S56_L001_R1.trmdfilt	0.12845363571992707	0.6687847913557367
70324_ID2138_20_BO17_241_S_S56_L001_R2.trmdfilt	0.12627453630127752	0.6668390843456594
70325_ID2138_21_BO17_252_A_S57_L001_R1.trmdfilt	0.1870159699652988	0.0
70325_ID2138_21_BO17_252_A_S57_L001_R2.trmdfilt	0.18447486120849352	0.0
70326_ID2138_22_BO17_256_S_S58_L001_R1.trmdfilt	0.1824836839118579	0.1006171130310933
70326_ID2138_22_BO17_256_S_S58_L001_R2.trmdfilt	0.182391142406108	0.10162690416736447
70327_ID2138_23_BO17_257_S_S59_L001_R1.trmdfilt	0.17697107499432868	0.0
70327_ID2138_23_BO17_257_S_S59_L001_R2.trmdfilt	0.17267614878101203	0.0
70328_ID2138_24_BO17_282_S_S60_L001_R1.trmdfilt	0.7321698210666667	0.6625294127286931
70328_ID2138_24_BO17_282_S_S60_L001_R2.trmdfilt	0.7827547673701254	0.6597937275851242
70329_ID2138_25_BO17_286_S_S61_L001_R1.trmdfilt	0.23996753789292088	0.47506889919274164
70329_ID2138_25_BO17_286_S_S61_L001_R2.trmdfilt	0.2404702266423617	0.46743700011201184
70330_ID2138_26_BO17_288_S_S62_L001_R1.trmdfilt	0.14635656883761028	0.0
70330_ID2138_26_BO17_288_S_S62_L001_R2.trmdfilt	0.1550516679357446	0.0
70331_ID2138_27_BO17_315_S_S63_L001_R1.trmdfilt	0.2263326342403612	0.2390296281972767
70331_ID2138_27_BO17_315_S_S63_L001_R2.trmdfilt	0.22673871693389283	0.3339296654144367
70332_ID2138_28_BO17_325_A_S64_L001_R1.trmdfilt	0.23786269484056852	0.49282096773282624
70332_ID2138_28_BO17_325_A_S64_L001_R2.trmdfilt	0.25116348607900224	0.49778338125785254
70333_ID2138_29_BO17_344_B_S65_L001_R1.trmdfilt	0.15063909074445606	0.0
70333_ID2138_29_BO17_344_B_S65_L001_R2.trmdfilt	0.14847993309957597	0.0
70334_ID2138_30_BO17_526_S_S66_L001_R1.trmdfilt	0.20620598210271002	0.21083145557281308
70334_ID2138_30_BO17_526_S_S66_L001_R2.trmdfilt	0.20592262462642016	0.2094146681913638
70335_ID2138_31_BO17_511_S_S67_L001_R1.trmdfilt	0.17066878362657228	0.0
70335_ID2138_31_BO17_511_S_S67_L001_R2.trmdfilt	0.1790281276652352	0.0
70336_ID2138_32_BO17_510_A_S68_L001_R1.trmdfilt	0.12525725854435607	0.0
70336_ID2138_32_BO17_510_A_S68_L001_R2.trmdfilt	0.1276479302343219	0.0
70337_ID2138_33_BO17_337_S_S106_L001_R1.trmdfilt	16.666666666666664	83.33333333333331
70337_ID2138_33_BO17_337_S_S106_L001_R2.trmdfilt	16.666666666666664	83.33333333333331
70338_ID2138_34_ZU19_001_B_S70_L001_R1.trmdfilt	0.16973402878825855	0.0
70338_ID2138_34_ZU19_001_B_S70_L001_R2.trmdfilt	0.170331626505891	0.0
70339_ID2138_35_ZU19_005_A_S71_L001_R1.trmdfilt	0.21510344117320343	0.22155066577311414
70339_ID2138_35_ZU19_005_A_S71_L001_R2.trmdfilt	0.21217697300652746	0.22202288401735273
70340_ID2138_36_ZU19_019_S_S72_L001_R1.trmdfilt	0.0	0.0
70340_ID2138_36_ZU19_019_S_S72_L001_R2.trmdfilt	0.0	0.0
70341_ID2138_37_ZU19_020_B_S73_L001_R1.trmdfilt	0.14731555398546614	0.0
70341_ID2138_37_ZU19_020_B_S73_L001_R2.trmdfilt	0.1424914648992736	0.0
70342_ID2138_38_ZU19_034_A_S74_L001_R1.trmdfilt	0.0	0.0
70342_ID2138_38_ZU19_034_A_S74_L001_R2.trmdfilt	0.0	0.0
70343_ID2138_39_ZU19_035_B_S75_L001_R1.trmdfilt	0.1592068340357584	0.0
70343_ID2138_39_ZU19_035_B_S75_L001_R2.trmdfilt	0.1580224504895571	0.0
70344_ID2138_40_ZU19_099_S_S76_L001_R1.trmdfilt	0.17174792397217858	0.10678251987443443
70344_ID2138_40_ZU19_099_S_S76_L001_R2.trmdfilt	0.16778145921531532	0.10695968863357427
70345_ID2138_41_ZU19_96_B_S77_L001_R1.trmdfilt	0.7116691753828472	0.6005103200435702
70345_ID2138_41_ZU19_96_B_S77_L001_R2.trmdfilt	0.7315639379553749	0.5974295308057482
70346_ID2138_42_ZU19_101_S_S78_L001_R1.trmdfilt	0.5913289652376642	3.475614900234737
70346_ID2138_42_ZU19_101_S_S78_L001_R2.trmdfilt	0.594635216430643	3.5322245529588323
70347_ID2138_43_ZU19_109_S_S79_L001_R1.trmdfilt	0.2100500821417054	0.6983562536111843
70347_ID2138_43_ZU19_109_S_S79_L001_R2.trmdfilt	0.21041083201442834	0.7025569083791409
70348_ID2138_44_ZU19_83_B_S80_L001_R1.trmdfilt	0.1449106121642968	0.8386505143275073
70348_ID2138_44_ZU19_83_B_S80_L001_R2.trmdfilt	0.1426432926414991	0.8422844730575019
70349_ID2138_45_ZU19_016_B_S81_L001_R1.trmdfilt	0.23689230066033473	0.561018398441026
