Sample	Unique Reads	Duplicate Reads
54058_ID1725_2-B-9S_S1_L001_R1.trmdfilt	13279630.0	6995136.0
54058_ID1725_2-B-9S_S1_L001_R2.trmdfilt	13589280.0	6685486.0
54059_ID1725_10-B-31A_S2_L001_R1.trmdfilt	13111270.0	9891040.0
54059_ID1725_10-B-31A_S2_L001_R2.trmdfilt	13426310.0	9576000.0
54060_ID1725_11-B-32S_S3_L001_R1.trmdfilt	10848490.0	4881566.0
54060_ID1725_11-B-32S_S3_L001_R2.trmdfilt	11129187.0	4600869.0
54061_ID1725_14-B-35S_S4_L001_R1.trmdfilt	14771756.0	10456660.0
54061_ID1725_14-B-35S_S4_L001_R2.trmdfilt	15131251.0	10097165.0
54062_ID1725_27-B-53S_S5_L001_R1.trmdfilt	12165241.0	5680094.0
54062_ID1725_27-B-53S_S5_L001_R2.trmdfilt	12449149.0	5396186.0
54063_ID1725_38-B-68S_S6_L001_R1.trmdfilt	12332925.0	6940734.0
54063_ID1725_38-B-68S_S6_L001_R2.trmdfilt	12618664.0	6654995.0
54064_ID1725_41-B-75S_S7_L001_R1.trmdfilt	16245475.0	10758319.0
54064_ID1725_41-B-75S_S7_L001_R2.trmdfilt	16527224.0	10476570.0
54065_ID1725_42-B-77S_S8_L001_R1.trmdfilt	6727537.0	13735537.0
54065_ID1725_42-B-77S_S8_L001_R2.trmdfilt	6726793.0	13736281.0
54066_ID1725_45-B-86B_S9_L001_R1.trmdfilt	17124534.0	11842090.0
54066_ID1725_45-B-86B_S9_L001_R2.trmdfilt	17588383.0	11378241.0
54067_ID1725_48-B-91S_S10_L001_R1.trmdfilt	20948106.0	14589291.0
54067_ID1725_48-B-91S_S10_L001_R2.trmdfilt	21231281.0	14306116.0
54068_ID1725_49-B-93S_S11_L001_R1.trmdfilt	18708959.0	14580071.0
54068_ID1725_49-B-93S_S11_L001_R2.trmdfilt	19164454.0	14124576.0
54069_ID1725_50-B-102S_S12_L001_R1.trmdfilt	15819612.0	9010675.0
54069_ID1725_50-B-102S_S12_L001_R2.trmdfilt	16115687.0	8714600.0
54070_ID1725_51-B-103S_S13_L001_R1.trmdfilt	17961383.0	7169593.0
54070_ID1725_51-B-103S_S13_L001_R2.trmdfilt	18091927.0	7039049.0
54071_ID1725_52-B-104S_S14_L001_R1.trmdfilt	20455294.0	3442188.0
54071_ID1725_52-B-104S_S14_L001_R2.trmdfilt	20675741.0	3221741.0
54072_ID1725_53-B-105S_S15_L001_R1.trmdfilt	18997041.0	3464001.0
54072_ID1725_53-B-105S_S15_L001_R2.trmdfilt	19354775.0	3106267.0
54073_ID1725_54-B-106S_S16_L001_R1.trmdfilt	15666395.0	3865505.0
54073_ID1725_54-B-106S_S16_L001_R2.trmdfilt	15884401.0	3647499.0
54074_ID1725_56-B-109S_S17_L001_R1.trmdfilt	13256654.0	2603619.0
54074_ID1725_56-B-109S_S17_L001_R2.trmdfilt	13360896.0	2499377.0
54075_ID1725_58-B-111S_S18_L001_R1.trmdfilt	19013654.0	2964564.0
54075_ID1725_58-B-111S_S18_L001_R2.trmdfilt	18997476.0	2980742.0
54076_ID1725_1-B-6S_S19_L001_R1.trmdfilt	13425881.0	6794842.0
54076_ID1725_1-B-6S_S19_L001_R2.trmdfilt	13246886.0	6973837.0
54077_ID1725_3-B-10S_S20_L001_R1.trmdfilt	10819651.0	4649763.0
54077_ID1725_3-B-10S_S20_L001_R2.trmdfilt	11069133.0	4400281.0
54078_ID1725_4-B-11S_S21_L001_R1.trmdfilt	14121193.0	6200589.0
54078_ID1725_4-B-11S_S21_L001_R2.trmdfilt	13733105.0	6588677.0
54079_ID1725_5-B-20S_S22_L001_R1.trmdfilt	12026428.0	5914450.0
54079_ID1725_5-B-20S_S22_L001_R2.trmdfilt	12259687.0	5681191.0
54080_ID1725_6-B-24S_S23_L001_R1.trmdfilt	12132735.0	6392462.0
54080_ID1725_6-B-24S_S23_L001_R2.trmdfilt	12422707.0	6102490.0
54081_ID1725_7-B-28S_S24_L001_R1.trmdfilt	12472673.0	6467431.0
54081_ID1725_7-B-28S_S24_L001_R2.trmdfilt	12755324.0	6184780.0
54082_ID1725_8-B-29S_S25_L001_R1.trmdfilt	14368304.0	6285925.0
54082_ID1725_8-B-29S_S25_L001_R2.trmdfilt	14199806.0	6454423.0
54083_ID1725_9-B-30S_S26_L001_R1.trmdfilt	14896435.0	6561182.0
54083_ID1725_9-B-30S_S26_L001_R2.trmdfilt	14997471.0	6460146.0
54084_ID1725_12-B-33S_S27_L001_R1.trmdfilt	11774797.0	8849929.0
54084_ID1725_12-B-33S_S27_L001_R2.trmdfilt	12090682.0	8534044.0
54085_ID1725_15-B-36B_S28_L001_R1.trmdfilt	12794207.0	6101066.0
54085_ID1725_15-B-36B_S28_L001_R2.trmdfilt	12905453.0	5989820.0
54086_ID1725_16-B-37S_S29_L001_R1.trmdfilt	17830099.0	9810551.0
54086_ID1725_16-B-37S_S29_L001_R2.trmdfilt	17906722.0	9733928.0
54087_ID1725_24-B-48S_S30_L001_R1.trmdfilt	13321103.0	6590693.0
