Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
54058_ID1725_2-B-9S_S1_L001_R1.trmdfilt	54058_ID1725_2-B-9S_S1_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20274766.0	0.0	40-150	37.0	65.49831406471232	144.703557022557	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
54058_ID1725_2-B-9S_S1_L001_R2.trmdfilt	54058_ID1725_2-B-9S_S1_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20274766.0	0.0	40-150	37.0	67.02558075707898	144.7439861451422	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
54059_ID1725_10-B-31A_S2_L001_R1.trmdfilt	54059_ID1725_10-B-31A_S2_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23002310.0	0.0	40-150	37.0	56.99979571314863	146.21673753636048	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
54059_ID1725_10-B-31A_S2_L001_R2.trmdfilt	54059_ID1725_10-B-31A_S2_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23002310.0	0.0	40-150	37.0	58.36939829158143	146.2267319673546	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	pass
54060_ID1725_11-B-32S_S3_L001_R1.trmdfilt	54060_ID1725_11-B-32S_S3_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15730056.0	0.0	40-150	37.0	68.96662864752805	145.25429515317683	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
54060_ID1725_11-B-32S_S3_L001_R2.trmdfilt	54060_ID1725_11-B-32S_S3_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15730056.0	0.0	40-150	37.0	70.7510922475031	145.27968228466574	pass	pass	warn	pass	fail	pass	pass	warn	pass	warn	pass
54061_ID1725_14-B-35S_S4_L001_R1.trmdfilt	54061_ID1725_14-B-35S_S4_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25228416.0	0.0	40-150	37.0	58.55205324029061	145.94033422470915	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
54061_ID1725_14-B-35S_S4_L001_R2.trmdfilt	54061_ID1725_14-B-35S_S4_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25228416.0	0.0	40-150	37.0	59.97701321140339	145.94805730173468	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	pass
54062_ID1725_27-B-53S_S5_L001_R1.trmdfilt	54062_ID1725_27-B-53S_S5_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17845335.0	0.0	40-150	38.0	68.17042241913444	144.93801595767184	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
54062_ID1725_27-B-53S_S5_L001_R2.trmdfilt	54062_ID1725_27-B-53S_S5_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17845335.0	0.0	40-150	38.0	69.76136038171623	144.97200080581283	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass
54063_ID1725_38-B-68S_S6_L001_R1.trmdfilt	54063_ID1725_38-B-68S_S6_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19273659.0	0.0	40-150	37.0	63.98849447675651	145.79365801791968	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
54063_ID1725_38-B-68S_S6_L001_R2.trmdfilt	54063_ID1725_38-B-68S_S6_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19273659.0	0.0	40-150	37.0	65.47103279956977	145.81925429935228	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
54064_ID1725_41-B-75S_S7_L001_R1.trmdfilt	54064_ID1725_41-B-75S_S7_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27003794.0	0.0	40-150	36.0	60.15997047099897	139.35279020422092	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
54064_ID1725_41-B-75S_S7_L001_R2.trmdfilt	54064_ID1725_41-B-75S_S7_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27003794.0	0.0	40-150	36.0	61.203338256828374	139.48675519447377	pass	pass	warn	pass	fail	fail	pass	warn	warn	warn	pass
54065_ID1725_42-B-77S_S8_L001_R1.trmdfilt	54065_ID1725_42-B-77S_S8_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20463074.0	0.0	40-150	65.0	32.8764707600041	146.11735020847797	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
54065_ID1725_42-B-77S_S8_L001_R2.trmdfilt	54065_ID1725_42-B-77S_S8_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20463074.0	0.0	40-150	65.0	32.87283464909309	146.125559629995	pass	pass	warn	pass	fail	fail	pass	warn	fail	pass	pass
54066_ID1725_45-B-86B_S9_L001_R1.trmdfilt	54066_ID1725_45-B-86B_S9_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28966624.0	0.0	40-150	36.0	59.11815287669621	143.29333943092576	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
54066_ID1725_45-B-86B_S9_L001_R2.trmdfilt	54066_ID1725_45-B-86B_S9_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28966624.0	0.0	40-150	36.0	60.719475118454845	143.34978104455666	pass	pass	warn	pass	fail	fail	pass	warn	warn	warn	pass
54067_ID1725_48-B-91S_S10_L001_R1.trmdfilt	54067_ID1725_48-B-91S_S10_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35537397.0	0.0	40-150	40.0	58.94665212405656	141.99714610498907	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
54067_ID1725_48-B-91S_S10_L001_R2.trmdfilt	54067_ID1725_48-B-91S_S10_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35537397.0	0.0	40-150	40.0	59.74348803801392	142.0770397167806	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
54068_ID1725_49-B-93S_S11_L001_R1.trmdfilt	54068_ID1725_49-B-93S_S11_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33289030.0	0.0	40-150	36.0	56.20157243647008	134.26030962752594	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
54068_ID1725_49-B-93S_S11_L001_R2.trmdfilt	54068_ID1725_49-B-93S_S11_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33289030.0	0.0	40-150	36.0	57.569876700269475	134.473676253108	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
54069_ID1725_50-B-102S_S12_L001_R1.trmdfilt	54069_ID1725_50-B-102S_S12_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24830287.0	0.0	40-150	57.0	63.71095052589351	146.50237921132364	pass	pass	pass	pass	fail	fail	pass	warn	warn	pass	pass
54069_ID1725_50-B-102S_S12_L001_R2.trmdfilt	54069_ID1725_50-B-102S_S12_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24830287.0	0.0	40-150	57.0	64.90334471269729	146.50537394110668	pass	pass	pass	pass	fail	fail	pass	warn	warn	pass	pass
54070_ID1725_51-B-103S_S13_L001_R1.trmdfilt	54070_ID1725_51-B-103S_S13_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25130976.0	0.0	40-150	42.0	71.47108906873544	146.68823952559583	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
54070_ID1725_51-B-103S_S13_L001_R2.trmdfilt	54070_ID1725_51-B-103S_S13_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25130976.0	0.0	40-150	42.0	71.9905454951266	146.7039489831195	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
54071_ID1725_52-B-104S_S14_L001_R1.trmdfilt	54071_ID1725_52-B-104S_S14_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23897482.0	0.0	40-150	40.0	85.59602042409597	144.28300981668278	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
54071_ID1725_52-B-104S_S14_L001_R2.trmdfilt	54071_ID1725_52-B-104S_S14_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23897482.0	0.0	40-150	40.0	86.51848782356996	144.2950052645714	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
54072_ID1725_53-B-105S_S15_L001_R1.trmdfilt	54072_ID1725_53-B-105S_S15_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22461042.0	0.0	40-150	40.0	84.57773362573417	140.05147494938123	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
54072_ID1725_53-B-105S_S15_L001_R2.trmdfilt	54072_ID1725_53-B-105S_S15_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22461042.0	0.0	40-150	40.0	86.17042273191883	140.19455370770422	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
54073_ID1725_54-B-106S_S16_L001_R1.trmdfilt	54073_ID1725_54-B-106S_S16_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19531900.0	0.0	40-150	42.0	80.20927194503274	147.6624639691991	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
54073_ID1725_54-B-106S_S16_L001_R2.trmdfilt	54073_ID1725_54-B-106S_S16_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19531900.0	0.0	40-150	42.0	81.3254216608976	147.66323004930396	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
54074_ID1725_56-B-109S_S17_L001_R1.trmdfilt	54074_ID1725_56-B-109S_S17_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15860273.0	0.0	40-150	43.0	83.58401681488061	146.33385635921903	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
54074_ID1725_56-B-109S_S17_L001_R2.trmdfilt	54074_ID1725_56-B-109S_S17_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15860273.0	0.0	40-150	43.0	84.24127253165081	146.3421284110305	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
54075_ID1725_58-B-111S_S18_L001_R1.trmdfilt	54075_ID1725_58-B-111S_S18_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21978218.0	0.0	40-150	41.0	86.51135383693817	139.43675611007225	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
54075_ID1725_58-B-111S_S18_L001_R2.trmdfilt	54075_ID1725_58-B-111S_S18_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21978218.0	0.0	40-150	41.0	86.43774398526372	139.5453666443749	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
54076_ID1725_1-B-6S_S19_L001_R1.trmdfilt	54076_ID1725_1-B-6S_S19_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20220723.0	0.0	40-150	37.0	66.39664011543454	145.68674784774015	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
54076_ID1725_1-B-6S_S19_L001_R2.trmdfilt	54076_ID1725_1-B-6S_S19_L001_R2.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20220723.0	0.0	40-150	37.0	65.51143370786839	145.70661593059754	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass
54077_ID1725_3-B-10S_S20_L001_R1.trmdfilt	54077_ID1725_3-B-10S_S20_L001_R1.trmdfilt.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15469414.0	0.0	40-150	37.0	69.94221504795098	145.63804375524504	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
